"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.3.46",0,0,65,0,0,0,0,0,0
"1.3.47",0,0,106,0,0,0,0,0,0
"1.3.49",6,9,271,0,0,0,0,0,1
"1.3.50",0,0,5,0,0,0,0,0,0
"1.3.59",10,20,100,0,0,0,0,0,1
"1.3.69",0,0,726,0,0,0,0,0,0
"1.3.70",0,0,232,0,0,0,0,0,0
"1.3.71",0,0,343,0,0,0,0,0,0
"1.3.72",0,0,76,0,0,0,0,0,0
"1.3.74",0,0,291,0,0,0,0,0,0
"1.3.75",1,0,116,0,0,0,0,0,1
"1.3.77",0,0,150,0,0,0,0,0,0
"1.3.79",0,0,10,0,0,0,0,0,0
"1.3.83",0,0,8,0,0,0,0,0,0
"1.3.84",0,0,15,0,0,0,0,0,0
"1.3.88",0,0,3,0,0,0,0,0,0
"1.3.96",0,0,6,0,0,0,0,0,0
"1.4.14",0,0,97,0,0,0,0,0,0
"1.4.15",0,0,76,0,0,0,0,0,0
"1.4.16",0,0,282,0,0,0,0,0,0
"1.4.17",0,0,105,0,0,0,0,0,0
"1.4.20",0,0,34,0,0,0,0,0,0
"1.4.21",0,0,133,0,0,0,0,0,0
"1.4.236",0,0,422,0,0,0,0,0,0
"1.4.24",0,0,23,0,0,0,0,0,0
"1.4.37",0,0,53,0,0,0,0,0,0
"1.4.40",0,0,228,0,0,0,0,0,0
"1.4.41",0,0,172,0,0,0,0,0,0
"1.4.43",0,0,23,0,0,0,0,0,0
"1.4.45",0,0,47,0,0,0,0,0,0
"1.4.47",0,0,334,0,0,0,0,0,0
"1.4.51",0,0,78,0,0,0,0,0,0
"1.4.52",0,0,22,0,0,0,0,0,0
"1.4.96",0,0,78,0,0,0,0,0,0
"1.5.10",0,0,105,0,0,0,0,0,0
"1.5.11",2,0,145,0,0,0,0,0,2
"1.5.12",0,0,45,0,0,0,0,0,0
"1.5.14",0,0,43,0,0,0,0,0,0
"1.5.20",0,0,72,0,0,0,0,0,0
"1.5.23",0,0,18,0,0,0,0,0,0
"1.5.3",0,0,46,0,0,0,0,0,0
"1.5.4",0,0,121,0,0,0,0,0,0
"1.5.7",0,0,126,0,0,0,0,0,0
"1.5.8",0,0,168,0,0,0,0,0,0
"1.5.9",0,0,104,0,0,0,0,0,0
"1.7.1",0,0,71,9,0,4,0,0,0
"1.7.10",0,0,178,7,0,1,0,0,0
"1.7.11",0,0,19,3,1,0,0,0,0
"1.7.12",0,1,40,1,0,0,0,0,1
"1.7.13",1,2,24,5,0,2,0,0,2
"1.7.14",0,9,58,1,0,1,0,0,1
"1.7.15",0,0,34,1,1,0,0,0,0
"1.7.16",0,5,90,1,4,2,0,0,1
"1.7.17",5,0,48,1,2,3,0,0,2
"1.7.18",0,0,96,12,0,0,0,1,0
"1.7.19",0,0,96,6,1,9,1,0,0
"1.7.2",0,0,35,3,1,1,1,0,0
"1.7.20",1,0,58,22,6,3,0,1,1
"1.7.21",0,0,31,4,0,2,0,0,0
"1.7.22",0,0,11,1,2,0,0,0,0
"1.7.23",0,0,90,4,2,3,0,0,0
"1.7.24",3,24,1398,85,42,17,1,36,8
"1.7.25",0,15,367,19,26,8,2,4,2
"1.7.25A",0,0,58,6,3,3,3,0,0
"1.7.26",0,0,151,24,9,9,8,2,0
"1.7.27",0,11,653,51,14,1,1,6,3
"1.7.28",0,0,126,8,4,1,0,0,0
"1.7.29",0,0,43,5,1,2,0,0,0
"1.7.3",0,0,20,5,0,8,0,0,0
"1.7.30",0,0,250,4,3,1,0,0,0
"1.7.31",2,15,374,9,0,6,0,3,2
"1.7.32",0,0,47,1,1,2,1,1,0
"1.7.33",0,0,85,10,1,5,0,1,0
"1.7.34",0,0,83,4,0,3,1,2,0
"1.7.35",0,0,82,5,2,4,2,2,0
"1.7.35A",0,0,22,3,1,3,0,1,0
"1.7.36",7,10,397,18,4,14,3,2,5
"1.7.37",0,0,266,17,2,14,2,1,0
"1.7.37A",0,0,66,7,1,7,0,0,0
"1.7.38",0,0,172,23,2,18,0,1,0
"1.7.39",10,15,444,37,1,15,1,3,1
"1.7.4",0,0,54,2,0,9,0,0,0
"1.7.40",0,0,70,12,1,12,0,1,0
"1.7.41",1,0,415,17,3,58,7,4,1
"1.7.42",8,10,138,3,4,7,5,1,2
"1.7.42A",0,0,20,4,0,23,33,0,0
"1.7.43",0,0,12,3,0,4,0,0,0
"1.7.44",0,0,34,0,0,0,0,0,0
"1.7.45",0,0,283,24,3,55,5,3,0
"1.7.46",0,0,220,12,0,10,2,0,0
"1.7.47",0,0,55,7,0,26,0,0,0
"1.7.48",0,0,10,0,0,43,0,0,0
