"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.18.16",2,0,37,9,7,14,1,1,1
"1.18.17",20,0,87,1,0,7,0,2,4
"1.18.18",0,0,51,0,0,8,0,0,0
"1.18.19",18,0,238,16,3,62,9,2,7
"1.18.1A",8,35,29,8,0,3,2,0,5
"1.18.2",233,170,71,6,0,4,0,0,47
"1.18.20",0,0,16,3,0,2,0,0,0
"1.18.21",0,0,28,0,0,20,1,0,0
"1.18.22",33,90,123,0,0,0,0,0,20
"1.18.23",0,12,8,0,1,0,0,0,2
"1.18.3",29,60,62,4,2,7,2,0,6
"1.18.4",424,122,269,6,0,37,9,1,93
"1.18.4A",0,0,11,1,0,14,1,0,0
"1.18.5",0,0,39,7,0,25,1,0,0
"1.18.6",254,167,283,7,0,13,0,2,75
"1.18.7",43,19,189,4,0,17,7,1,11
"1.18.7A",0,0,10,0,0,5,0,0,0
"1.18.8",70,99,50,1,0,2,0,0,14
"1.18.9",274,177,135,8,3,16,1,1,38
"1.18.9A",3,0,41,0,0,9,0,1,2
"1.20.1",0,0,44,4,4,8,0,0,0
"1.21.1",2,46,70,0,0,4,4,4,6
"1.21.8",0,2,106,12,6,24,0,0,2
"1.22.5",1,20,25,1,1,5,0,0,5
"1.22.6",1,6,33,7,3,1,0,1,3
"1.22.7",11,2,116,12,11,8,0,4,4
"1.23.1",27,74,119,11,3,13,1,5,13
"1.23.10",5,124,22,2,1,1,0,0,7
"1.23.12",0,0,35,12,0,27,0,0,0
"1.23.13",20,45,57,5,0,8,0,0,11
"1.23.14",40,194,282,9,17,10,0,2,22
"1.23.15",3,0,85,8,0,16,0,1,1
"1.23.16",56,32,64,8,0,13,0,0,16
"1.23.17",16,5,114,13,3,18,0,0,4
"1.23.18",20,35,86,2,0,15,1,0,9
"1.23.19",0,0,32,0,0,48,0,0,0
"1.23.2",0,13,33,2,2,15,0,4,1
"1.23.20",5,10,25,1,0,52,0,0,1
"1.23.22",0,0,17,6,2,21,0,0,0
"1.23.24",3,10,2,0,0,0,0,0,2
"1.23.25",2,20,21,1,0,10,0,0,2
"1.23.26",0,0,7,1,0,3,0,0,0
"1.23.27",2,0,13,0,0,3,0,0,2
"1.23.28",0,0,10,0,0,5,0,0,0
"1.23.29",0,0,5,0,0,6,0,0,0
"1.23.3",0,4,35,3,0,6,0,1,1
