UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,
1.13.10.1329,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1330,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1331,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1333,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1335,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1338,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1340,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1342,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1343,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1344,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1345,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1346,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1348,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1349,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1350,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1351,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1353,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1354,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1355,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1357,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1358,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1359,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1365,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1367,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1369,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1370,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1371,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1376,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1378,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1380,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1381,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1383,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1386,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1395,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1397,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1400,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1401,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1402,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1407,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1408,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1409,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1413,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1425,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1426,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1429,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1438,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1440,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1448,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1449,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1450,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1452,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1454,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1455,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1456,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1457,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1459,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1460,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1465,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1466,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1467,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1468,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1469,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1471,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1472,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1475,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1478,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1481,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1483,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1484,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1486,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1491,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1510,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1516,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1517,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.297,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,SOLO 296
1.13.10.298,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.298,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.299,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.300,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.300,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.301,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.302,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.302,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.306,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.308,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.308,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.309,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.309,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.310,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.311,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.311,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.312,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.313,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.313,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.315,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.315,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.316,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.318,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.319,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.320,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.321,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.322,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.323,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.326,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.327,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.329,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.331,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.332,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.333,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.334,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.335,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.336,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.336,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.337,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.338,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.339,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.339,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.342,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.342,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.343,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.344,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.345,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.347,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.349,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.350,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.351,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.351,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.352,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.354,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.354,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.357,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.358,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.359,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.359,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.360,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.361,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.362,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.363,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.364,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.364,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.369,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.371,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.372,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.373,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.373,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.374,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.375,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.376,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.376,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.377,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.378,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
