UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,
1.23.20.58,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.59,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.60,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.61,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.62,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.63,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.64,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.65,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.66,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.67,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.68,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.69,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.70,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.71,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.72,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.73,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.74,0,0,14/02/2006,2,0,0,0,1,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.75,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.76,0,0,14/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.77,0,0,14/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.78,0,0,14/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.69A,0,0,13/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.20.76A,0,0,14/02/2006,2,1,0,0,0,0,0,,FALTA INGRESAR PUNTOS ,,
1.23.25.1,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.2,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.3,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.4,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.30.9A,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.5,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.6,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.7,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.8,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.9,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.24.76,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.10,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.11,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.12,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.13,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.14,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.15,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.16,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.17,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.18,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.19,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.20,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.21,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.22,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.23,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.24,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.25,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.26,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.27,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
1.23.25.28,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.29,0,0,04/03/2006,2,1,0,0,0,0,0,,letras en la manzana ,,
1.23.25.30,0,0,04/03/2006,2,0,0,0,1,0,0,,letras en la manzana ,,
1.23.25.31,0,0,04/03/2006,2,0,1,0,0,0,0,,letras en la manzana ,,
1.23.25.32,0,0,04/03/2006,2,0,0,1,0,0,0,,letras en la manzana ,,
