UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.5.23.73,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 92
1.5.23.74,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 93
1.5.23.75,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 94
1.5.23.76,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 95
1.5.23.77,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 96
1.5.23.78,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 97
1.5.23.79,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 98
1.5.23.80,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 99
1.5.23.81,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 100
1.5.23.82,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 101
1.5.23.83,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 102
1.5.23.84,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 103
1.5.23.85,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 104
1.5.23.86,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 105
1.5.23.87,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 106
1.5.23.88,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 107
1.5.23.89,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 108
1.5.23.9,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 109
1.5.23.90,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 110
1.5.23.91,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 111
1.5.23.92,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 112
1.5.23.93,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 113
1.5.23.94,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 114
1.5.23.95,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 115
1.5.23.96,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 116
1.5.23.97,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 117
1.5.23.98,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 118
1.5.23.99,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 119
