UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.3.88;1;28;3;88;-16.57112709;-71.45489717
1.28.3.89;1;28;3;89;-16.57109328;-71.45499642
1.28.3.90;1;28;3;90;-16.57102643;-71.45516944
1.28.3.91;1;28;3;91;-16.57094833;-71.45532754
1.28.3.92;1;28;3;92;-16.57092169;-71.45554211
1.28.3.93;1;28;3;93;-16.57082616;-71.45560833
1.28.3.94;1;28;3;94;-16.5707823;-71.45579362
1.28.3.95;1;28;3;95;-16.57045395;-71.45657676
1.28.3.96;1;28;3;96;-16.5703736;-71.45671927
1.28.3.97;1;28;3;97;-16.57020544;-71.45717084
1.28.3.98;1;28;3;98;-16.57008141;-71.45756277
1.28.3.99;1;28;3;99;-16.5700402;-71.45773754
1.28.3.100;1;28;3;100;-16.56988144;-71.45791074
1.28.3.101;1;28;3;101;-16.56898889;-71.45993408
1.28.3.102;1;28;3;102;-16.56898369;-71.45938534
1.28.3.103;1;28;3;103;-16.56920833;-71.45898042
1.28.3.104;1;28;3;104;-16.56963037;-71.45785108
1.28.3.105;1;28;3;105;-16.56967885;-71.45775174
1.28.3.106;1;28;3;106;-16.56972446;-71.45769059
1.28.3.107;1;28;3;107;-16.56977997;-71.45758607
1.28.3.108;1;28;3;108;-16.56981736;-71.45743611
1.28.3.109;1;28;3;109;-16.56997583;-71.45711747
1.28.3.110;1;28;3;110;-16.56927005;-71.45666412
1.28.3.111;1;28;3;111;-16.56942031;-71.45634722
1.28.3.112;1;28;3;112;-16.56956944;-71.45602491
1.28.3.113;1;28;3;113;-16.56985486;-71.45613859
1.28.3.114;1;28;3;114;-16.57025359;-71.45638478
1.28.3.115;1;28;3;115;-16.57020746;-71.45650518
1.28.3.116;1;28;3;116;-16.57016211;-71.45663747
1.28.3.117;1;28;3;117;-16.57004364;-71.45692117
1.28.3.118;1;28;3;118;-16.56942233;-71.4565708
1.28.3.119;1;28;3;119;-16.56931804;-71.45605957
1.28.3.120;1;28;3;120;-16.56938223;-71.45585753
1.28.3.121;1;28;3;121;-16.56944966;-71.45567399
1.28.3.122;1;28;3;122;-16.5693507;-71.45547717
1.28.3.123;1;28;3;123;-16.5696;-71.45535757
1.28.3.124;1;28;3;124;-16.56947355;-71.4552
1.28.3.125;1;28;3;125;-16.56966944;-71.45520129
1.28.3.126;1;28;3;126;-16.56978346;-71.45467813
1.28.3.127;1;28;3;127;-16.56985833;-71.45452161
1.28.3.128;1;28;3;128;-16.56992537;-71.45437924
1.28.3.129;1;28;3;129;-16.57002035;-71.45419733
1.28.3.130;1;28;3;130;-16.57009523;-71.45402778
1.28.3.131;1;28;3;131;-16.56950805;-71.45371994
1.28.3.132;1;28;3;132;-16.56921131;-71.45365646
1.28.3.133;1;28;3;133;-16.56821441;-71.45318139
1.28.3.134;1;28;3;134;-16.56931416;-71.45344654
1.28.3.135;1;28;3;135;-16.56957222;-71.45327265
1.28.3.136;1;28;3;136;-16.57006755;-71.45336738
1.28.3.137;1;28;3;137;-16.57037801;-71.4534897
1.28.3.138;1;28;3;138;-16.57029167;-71.45366634
1.28.3.139;1;28;3;139;-16.57022913;-71.45385707
1.28.3.140;1;28;3;140;-16.56962629;-71.45269579
1.28.3.141;1;28;3;141;-16.56971873;-71.45249531
1.28.3.142;1;28;3;142;-16.5697936;-71.452775
1.28.3.143;1;28;3;143;-16.57052889;-71.45313663
1.28.3.144;1;28;3;144;-16.57062806;-71.45290128
1.28.3.145;1;28;3;145;-16.57071995;-71.45272002
1.28.3.146;1;28;3;146;-16.5709375;-71.45236115
1.28.3.147;1;28;3;147;-16.57088115;-71.45217954
1.28.3.148;1;28;3;148;-16.57076033;-71.4520129
1.28.3.149;1;28;3;149;-16.57069928;-71.45172769
1.28.3.150;1;28;3;150;-16.57070234;-71.45157291
1.28.3.151;1;28;3;151;-16.57051102;-71.45097222
1.28.3.152;1;28;3;152;-16.57097893;-71.45183982
1.28.3.153;1;28;3;153;-16.57118042;-71.45225383
1.28.3.154;1;28;3;154;-16.57192069;-71.45097259
1.28.3.155;1;28;3;155;-16.57204796;-71.45100072
1.28.3.156;1;28;3;156;-16.5720437;-71.4511218
1.28.3.157;1;28;3;157;-16.57204118;-71.45120195
1.28.3.158;1;28;3;158;-16.57209057;-71.45138618
1.28.3.159;1;28;3;159;-16.57215883;-71.45157765
1.28.3.160;1;28;3;160;-16.5721354;-71.45179302
1.28.3.161;1;28;3;161;-16.57214444;-71.45199543
1.28.3.162;1;28;3;162;-16.57209282;-71.45214544
1.28.3.163;1;28;3;163;-16.57204699;-71.45228943
1.28.3.164;1;28;3;164;-16.57189444;-71.45252197
1.28.3.165;1;28;3;165;-16.5717604;-71.45284026
1.28.3.166;1;28;3;166;-16.5715874;-71.4531472
1.28.3.167;1;28;3;167;-16.57134722;-71.45275524
1.28.3.168;1;28;3;168;-16.57124197;-71.45252778
1.28.3.169;1;28;3;169;-16.57182222;-71.45224858
1.28.3.170;1;28;3;170;-16.57101342;-71.4526056
1.28.3.171;1;28;3;171;-16.57117222;-71.45292035
1.28.3.172;1;28;3;172;-16.57148056;-71.45354871
1.28.3.173;1;28;3;173;-16.57136773;-71.45380054
1.28.3.174;1;28;3;174;-16.57131749;-71.45396389
1.28.3.175;1;28;3;175;-16.57075028;-71.45409452
1.28.3.176;1;28;3;176;-16.57048889;-71.45394458
1.28.3.177;1;28;3;177;-16.57058992;-71.45376667
1.28.3.178;1;28;3;178;-16.57060097;-71.45353443
1.28.3.179;1;28;3;179;-16.57064328;-71.45342339
1.28.3.180;1;28;3;180;-16.57070122;-71.45329003
1.28.3.181;1;28;3;181;-16.57035833;-71.45409863
1.28.3.182;1;28;3;182;-16.57068727;-71.45424887
1.28.3.183;1;28;3;183;-16.57110177;-71.45444388
1.28.3.184;1;28;3;184;-16.57105343;-71.45449335
1.28.3.185;1;28;3;185;-16.57099958;-71.45461944
1.28.3.186;1;28;3;186;-16.57093276;-71.45467778
1.28.3.187;1;28;3;187;-16.57040932;-71.45432888
1.28.3.188;1;28;3;188;-16.57012212;-71.45469167
1.28.3.189;1;28;3;189;-16.56999417;-71.4550377
1.28.3.190;1;28;3;190;-16.56993934;-71.45515582
1.28.3.191;1;28;3;191;-16.56983733;-71.45547222
1.28.3.192;1;28;3;192;-16.56977928;-71.45566583
1.28.3.193;1;28;3;193;-16.56999444;-71.45592174
1.28.3.194;1;28;3;194;-16.57034484;-71.45612815
1.28.3.195;1;28;3;195;-16.5703885;-71.45603351
1.28.3.196;1;28;3;196;-16.57048333;-71.45577963
1.28.3.197;1;28;3;197;-16.57056088;-71.45554961
1.28.3.198;1;28;3;198;-16.57061701;-71.4554126
1.28.5.1;1;28;5;1;-16.54920094;-71.47161221
1.28.5.2;1;28;5;2;-16.5522589;-71.47146275
1.28.5.3;1;28;5;3;-16.55229411;-71.47164559
1.28.5.4;1;28;5;4;-16.5508357;-71.47198844
1.28.5.5;1;28;5;5;-16.54985723;-71.47205252
1.28.5.6;1;28;5;6;-16.54962702;-71.47187788
1.28.5.7;1;28;5;7;-16.54916728;-71.47188578
1.28.5.8;1;28;5;8;-16.54956969;-71.47226439
1.28.5.9;1;28;5;9;-16.54942476;-71.47218553
1.28.5.10;1;28;5;10;-16.54926807;-71.47210641
1.28.5.11;1;28;5;11;-16.54907252;-71.47206633
1.28.5.12;1;28;5;12;-16.54891186;-71.47239034
1.28.5.13;1;28;5;13;-16.54882743;-71.47252056
1.28.5.14;1;28;5;14;-16.54879773;-71.47263056
1.28.5.15;1;28;5;15;-16.54869172;-71.47276111
1.28.5.16;1;28;5;16;-16.54865306;-71.47281943
1.28.5.17;1;28;5;17;-16.5488298;-71.47309686
1.28.5.18;1;28;5;18;-16.54877105;-71.47303167
1.28.5.19;1;28;5;19;-16.54873021;-71.47299131
1.28.5.20;1;28;5;20;-16.5486186;-71.47291493
1.28.5.21;1;28;5;21;-16.54857253;-71.47297985
1.28.5.22;1;28;5;22;-16.54849268;-71.47308871
1.28.5.23;1;28;5;23;-16.5484435;-71.47319761
1.28.5.24;1;28;5;24;-16.54839862;-71.47329212
