Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/05/02, 17:08:24, -16.426760, -71.526001, 2341.92,  16956.00, 291, 0, 16.48, 1
2017/05/02, 17:08:27, -16.426624, -71.526024, 2339.99,  19620.00, 355, 0, 15.32, 1
2017/05/02, 17:08:30, -16.426430, -71.526024, 2339.30,  26964.00, 355, 0, 21.57, 1
2017/05/02, 17:08:33, -16.426229, -71.526016, 2339.23,  26496.00, 358, 0, 22.37, 1
2017/05/02, 17:08:36, -16.426008, -71.526016, 2340.25,  28620.00, 359, 0, 24.57, 1
2017/05/02, 17:08:39, -16.425797, -71.526024, 2340.40,  24696.00, 356, 0, 23.48, 1
2017/05/02, 17:08:42, -16.425655, -71.526031, 2340.41,  11880.00, 358, 0, 15.81, 1
2017/05/02, 17:08:45, -16.425617, -71.526024, 2341.11,  468.00, 1, 0, 4.29, 1
2017/05/02, 17:11:50, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 11.22, 1
2017/05/02, 17:14:53, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:17:55, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:20:56, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:23:57, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:26:58, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:29:58, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:32:58, -16.425568, -71.525932, 2343.81,  0.00, 338, 0, 0.00, 1
2017/05/02, 17:35:58, -16.425568, -71.525932, 2343.81,  0.00, 338, -4, 0.00, 1
