"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.3.99.122,-16.32345428678999,-71.5375189757258,8193597.13828154,228872.785240639, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.123,-16.32339355276074,-71.53759924314777,8193603.75524702,228864.120368552, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.124,-16.32334615171973,-71.53772118684609,8193608.84061681,228851.018405672, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.125,-16.32325578800475,-71.53767796860728,8193618.90232019,228855.514107086, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.126,-16.32318023765401,-71.53762703218436,8193627.33431525,228860.855367431, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.127,-16.32310172467537,-71.53758535729759,8193636.08196741,228865.20242558, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.128,-16.32320393596803,-71.53746032527245,8193624.93266808,228878.710141741, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.129,-16.32326911426529,-71.53738931921193,8193617.81134059,228886.39104238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.130,-16.32330466502284,-71.53730442151536,8193613.98856619,228895.516194193, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.131,-16.32301728251396,-71.53736154002068,8193645.72856811,228889.013579457, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.132,-16.32291951532869,-71.53747885395535,8193656.39614562,228876.337103719, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.133,-16.32282026300561,-71.53741865679929,8193667.46450392,228882.635737382, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.134,-16.32173150370785,-71.53859486004585,8193786.43440277,228755.389472036, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.135,-16.32271168291573,-71.53777211856912,8193679.01471226,228844.698474612, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.136,-16.32262280328555,-71.53787553988092,8193688.71683152,228833.519433401, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.137,-16.32256058877331,-71.53801291905383,8193695.4216308,228818.746820135, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.138,-16.32246578393092,-71.53812714518561,8193705.76532827,228806.404472915, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.139,-16.32238134874274,-71.53825217670585,8193714.94660569,228792.921242179, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.140,-16.32255911427138,-71.53837874644626,8193695.09762494,228779.635224507, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.141,-16.32268650883283,-71.53824599691176,8193681.17061098,228794.002816481, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.142,-16.32273687352209,-71.53816109944302,8193675.70782095,228803.148423407, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.143,-16.32280057041548,-71.53807620162151,8193668.7690221,228812.312451347, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.144,-16.32286130372059,-71.53794190922827,8193662.2241026,228826.753009556, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
