"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.28.2.22,-16.5637698822189,-71.45726466633109,8167098.14987759,237775.459054469, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.23,-16.56390425073801,-71.45755833333334,8167082.89083884,237744.286474235, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.24,-16.56400555555556,-71.45718528407505,8167072.16308407,237784.25381744, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.25,-16.5641787362407,-71.45729523295147,8167052.8473015,237772.749240718, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.26,-16.56413173413707,-71.4574638888889,8167057.83040643,237754.678354902, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.27,-16.5641,-71.45772092767257,8167061.0077704,237727.191589963, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.28,-16.56402222222222,-71.45799132739728,8167069.26495837,237698.215896066, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.29,-16.56393611111111,-71.45789956127447,8167078.91789213,237707.897022379, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.30,-16.5655437613176,-71.45401028066078,8166906.01909498,238125.32625467, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.1,-16.56948509539489,-71.45000833333333,8166474.90781986,238557.929019487, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.2,-16.5681593711682,-71.45183966672782,8166619.28651276,238360.613514196, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.3,-16.56835960825504,-71.45156997497723,8166597.47067125,238389.678166663, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.4,-16.56973461962774,-71.45020548700111,8166447.02721495,238537.216894862, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.5,-16.56962392499934,-71.44980193412121,8166459.80747197,238580.152860761, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.6,-16.56971452442673,-71.44972505821917,8166449.87774363,238588.482921996, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.7,-16.56979498483296,-71.44962777777778,8166441.09703844,238598.977779086, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.8,-16.57100277777778,-71.44807209025035,8166309.41340337,238766.70152195, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.9,-16.57068055555556,-71.44766325293145,8166345.61737297,238809.915972551, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.10,-16.5707157909656,-71.44751010976793,8166341.9159412,238826.313810311, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.11,-16.57059715381074,-71.44618951787842,8166356.7680082,238967.146315779, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.12,-16.56991002072831,-71.44604785051362,8166433.02162985,238981.34464814, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.13,-16.5707143197343,-71.44407060449305,8166346.55219074,239193.529143147, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.14,-16.57282136065467,-71.44537558941032,8166111.59493597,239057.044310801, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.15,-16.57211028437057,-71.44887836365007,8166185.75640575,238682.115609636, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.16,-16.57178030294642,-71.44858095878041,8166222.67449247,238713.42219105, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.3.17,-16.57157665607625,-71.44841360142532,8166245.43725488,238731.015011889, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
