"type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime"
"TRACK,1.11.2-2,-16.39459396531457,-71.52640231663588,8185736.0853206,230159.102153349,False, , ,0, , , , , , "
"TRACK,1.11.2-2,-16.39330176046222,-71.52779571352195,8185877.28993416,230008.411424185,False, , ,0, , , , , , "
"TRACK,1.11.2-2,-16.39347133174431,-71.52803328612832,8185858.20039522,229983.256496991,False, , ,0, , , , , , "
"TRACK,1.11.2-2,-16.39385073855083,-71.52840756035198,8185815.69791921,229943.782161582,False, , ,0, , , , , , "
"TRACK,1.11.2-3, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-3,-16.39557253494154,-71.52677719015492,8185627.2492878,230120.389996622,False, , ,0, , , , , , "
"TRACK,1.11.2-3,-16.39476089734831,-71.52590264080132,8185718.26930112,230212.731103675,False, , ,0, , , , , , "
"TRACK,1.11.2-3,-16.39451883915383,-71.52619315270076,8185744.68087081,230181.351297272,False, , ,0, , , , , , "
"TRACK,1.11.2-3,-16.39525229172287,-71.52707566978201,8185662.30595224,230088.050854267,False, , ,0, , , , , , "
"TRACK,1.11.2-4, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-4,-16.39524526507313,-71.52637981904067,8185664.01012985,230162.404395175,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39559730793404,-71.52674970618894,8185624.54326461,230123.361273512,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39593730170442,-71.52641608861664,8185587.34675598,230159.482598651,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39578339725715,-71.52630465183593,8185604.53377491,230171.179223913,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39559246327098,-71.52618727762285,8185625.82821147,230183.459327641,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39504814404565,-71.52563955156772,8185686.81841162,230241.242548866,False, , ,0, , , , , , "
"TRACK,1.11.2-4,-16.39480173909729,-71.52587388090751,8185713.78599822,230215.860882451,False, , ,0, , , , , , "
"TRACK,1.11.2-5, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-5,-16.39617816745868,-71.52659987186091,8185560.43597459,230140.174522642,False, , ,0, , , , , , "
"TRACK,1.11.2-5,-16.39599615761579,-71.52640520251164,8185580.84533064,230160.727110339,False, , ,0, , , , , , "
"TRACK,1.11.2-5,-16.39530508951986,-71.52710320179288,8185656.42407295,230085.181418558,False, , ,0, , , , , , "
"TRACK,1.11.2-5,-16.39548948516885,-71.52729945379872,8185635.74840771,230064.46296474,False, , ,0, , , , , , "
"TRACK,1.11.2-6, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-6,-16.39619740675556,-71.52658885688835,8185558.32066152,230141.378180786,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39649762989217,-71.52623977006881,8185525.54772102,230179.097677745,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.3967316890212,-71.52591826053263,8185500.06302009,230213.778774054,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39719116973635,-71.52521929192801,8185450.12418342,230289.107879066,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39688587645674,-71.52503629526433,8185484.16651593,230308.243145328,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39655613199279,-71.52552781807943,8185520.01841911,230255.26170734,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39627730036098,-71.52583462026696,8185550.47949941,230222.09063501,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.39604376529688,-71.52609542418135,8185575.98699432,230193.897579435,False, , ,0, , , , , , "
"TRACK,1.11.2-6,-16.3959205977294,-71.52627348895834,8185589.38584159,230174.6986561,False, , ,0, , , , , , "
"TRACK,1.11.2-7, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-7,-16.39661323204042,-71.52538682052952,8185513.88450234,230270.40823287,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39685224175346,-71.52499618627473,8185487.9435558,230312.483063173,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39660388931936,-71.52485001352099,8185515.63298045,230327.761658115,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39642412187814,-71.52514875498677,8185535.13753088,230295.588658937,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39609434247776,-71.52548523628892,8185571.19958307,230259.175718055,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39549491962254,-71.52605862516597,8185636.79844132,230197.073475806,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39562400630621,-71.52616587286831,8185622.36458168,230185.790265632,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39584437688545,-71.52631461613935,8185597.76948292,230170.198454602,False, , ,0, , , , , , "
"TRACK,1.11.2-7,-16.39622317018388,-71.52582782617272,8185556.48126889,230222.742070234,False, , ,0, , , , , , "
"TRACK,1.11.2-8, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-8,-16.395676090456,-71.52583014953713,8185617.04513549,230221.739603392,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39577038867059,-71.52573761479179,8185606.72855346,230231.758441476,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.3961129422095,-71.52538981599523,8185569.26737193,230269.398547935,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39640648909165,-71.52511668250912,8185537.13231612,230298.991811153,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39658056709536,-71.52482551044241,8185518.24756657,230330.34805908,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39614708120305,-71.52454222543054,8185566.61536933,230360.024237488,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39588845288124,-71.52484986979235,8185594.83877923,230326.7911177,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39579261566161,-71.52494484733128,8185605.32253097,230316.50916328,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39557659162743,-71.52513675612612,8185628.98315655,230295.702881112,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39542633141839,-71.52527065469633,8185645.44026198,230281.186539025,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39507918772887,-71.52561389323952,8185683.41571867,230244.027358453,False, , ,0, , , , , , "
"TRACK,1.11.2-8,-16.39548712338285,-71.52601854774373,8185637.71489362,230201.345659895,False, , ,0, , , , , , "
"TRACK,1.11.2-9, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-9,-16.39503057438251,-71.52560006938782,8185688.81607273,230245.437660877,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39530233590766,-71.52533553139109,8185659.08143535,230274.082502594,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39582434489133,-71.52484439516029,8185601.94342445,230327.287829456,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39610412145909,-71.52451839089176,8185571.40312034,230362.512147165,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39578955095871,-71.5242940810179,8185606.52737027,230386.049861052,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39542748822434,-71.52407474140024,8185646.90281182,230408.991080778,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39520715943262,-71.52445974818494,8185670.78329929,230367.543244871,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.3951036625674,-71.52468019444468,8185681.94819475,230343.842317938,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39498914222247,-71.5249692780357,8185694.24217342,230312.791131399,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39482418500849,-71.52529876782209,8185712.06620058,230277.352314694,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39467059174966,-71.52559500969556,8185728.67631567,230245.482197191,False, , ,0, , , , , , "
"TRACK,1.11.2-9,-16.39483369058974,-71.52575220867699,8185710.41056034,230228.907649396,False, , ,0, , , , , , "
"TRACK,1.11.2-10, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-10,-16.39454711216219,-71.52563671242197,8185742.29119884,230240.855360524,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39464440589949,-71.52553356648987,8185731.65708675,230252.012349048,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39478923483144,-71.52528027199519,8185715.96012324,230279.280737152,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39488946530182,-71.52506203283404,8185705.15397351,230302.741375938,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39499555873786,-71.52487792792608,8185693.65331333,230322.562253828,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39493001893506,-71.52481611560182,8185700.99140798,230329.077621318,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39479294633389,-71.5249140145265,8185716.03642914,230318.426606989,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39453043631838,-71.52523965497906,8185744.66561325,230283.264690914,False, , ,0, , , , , , "
"TRACK,1.11.2-10,-16.39438075753408,-71.52543170177293,8185760.9809942,230262.534949364,False, , ,0, , , , , , "
"TRACK,1.11.2-11, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-11,-16.39436297237431,-71.52583193470235,8185762.41748057,230219.738725924,False, , ,0, , , , , , "
"TRACK,1.11.2-11,-16.39452516726148,-71.52565937436859,8185744.69055704,230238.403299831,False, , ,0, , , , , , "
"TRACK,1.11.2-11,-16.39435449418726,-71.52546031877499,8185763.85052538,230259.440538787,False, , ,0, , , , , , "
"TRACK,1.11.2-11,-16.39419521354224,-71.52567124601491,8185781.20378604,230236.679826196,False, , ,0, , , , , , "
"TRACK,1.11.2-12, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-12,-16.39457389771713,-71.52635506617168,8185738.36988113,230164.123999721,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39418642687086,-71.52599827744396,8185781.74141611,230201.71879556,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39432183350576,-71.52584889987253,8185766.94937266,230217.869000921,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39417043883659,-71.52570808158852,8185783.8975728,230232.709165647,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39326269530771,-71.52683195228465,8185882.89786589,230111.352549399,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39330378747579,-71.52771863688392,8185877.16815338,230016.65122917,False, , ,0, , , , , , "
"TRACK,1.11.2-12,-16.39383353628825,-71.52711553679694,8185819.32278746,230081.833735889,False, , ,0, , , , , , "
"TRACK,1.11.2-13, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-13,-16.39413146142453,-71.52564442536301,8185788.29743767,230239.458202781,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39315818685582,-71.52493493379254,8185896.99198048,230313.93849633,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39276887209862,-71.52540252228572,8185939.47086571,230263.431896437,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39278719997608,-71.52538034442065,8185937.47129721,230265.827255064,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39301641068573,-71.52574957827051,8185911.604285,230226.683918301,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39311745762008,-71.52594284694074,8185900.16028219,230206.169001519,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39316979411452,-71.52614310315082,8185894.09967022,230184.840214717,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39321413557964,-71.52632321612749,8185888.95096774,230165.653076342,False, , ,0, , , , , , "
"TRACK,1.11.2-13,-16.39326613648521,-71.52671467469511,8185882.67299088,230123.890483936,False, , ,0, , , , , , "
"TRACK,1.11.2-14, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-14,-16.39433110240679,-71.52540410360901,8185766.51500511,230265.415848867,False, , ,0, , , , , , "
"TRACK,1.11.2-14,-16.39381698439656,-71.52478432077133,8185824.25716761,230330.941833619,False, , ,0, , , , , , "
"TRACK,1.11.2-14,-16.39326026430362,-71.52417870187888,8185886.69669819,230394.895814886,False, , ,0, , , , , , "
"TRACK,1.11.2-14,-16.39283397145626,-71.52460290943358,8185933.32725944,230348.974506818,False, , ,0, , , , , , "
"TRACK,1.11.2-14,-16.39349156214035,-71.52510467877436,8185859.85840089,230296.25761773,False, , ,0, , , , , , "
"TRACK,1.11.2-14,-16.39416224736251,-71.52564368338608,8185784.89012794,230239.579928104,False, , ,0, , , , , , "
"TRACK,1.11.2-15, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-15,-16.3949319397611,-71.52477276313265,8185700.83641633,230333.713202445,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39500096846482,-71.52472607000844,8185693.25638889,230338.798253814,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39520536282926,-71.5243479434773,8185671.13088797,230379.488947613,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39445865247287,-71.52385047425712,8185754.46025063,230431.623230508,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39420793945931,-71.52409150116269,8185781.89607369,230405.520087741,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39370874691501,-71.52458695911821,8185836.50255877,230351.884218925,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39405530369295,-71.52498257125788,8185797.60927951,230310.083726153,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39436197798717,-71.52537666509652,8185763.1332872,230268.390673617,False, , ,0, , , , , , "
"TRACK,1.11.2-15,-16.39488465339392,-71.52473320894913,8185706.12407441,230337.87507224,False, , ,0, , , , , , "
"TRACK,1.11.2-16, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-16,-16.39395362301945,-71.52345660970723,8185810.89536577,230473.018816206,False, , ,0, , , , , , "
"TRACK,1.11.2-16,-16.39335759525486,-71.52422292067455,8185875.86244935,230390.304329581,False, , ,0, , , , , , "
"TRACK,1.11.2-16,-16.39363524958581,-71.52454559008216,8185844.6944231,230356.203962908,False, , ,0, , , , , , "
"TRACK,1.11.2-16,-16.39438648942029,-71.52379414750385,8185762.52426713,230437.543303225,False, , ,0, , , , , , "
"TRACK,1.11.2-17, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-17,-16.39475636016541,-71.52398460721693,8185721.32286462,230417.698932235,False, , ,0, , , , , , "
