"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.10.2.1483A",1,10,"2","1483A",-16.4014259063104,-71.5067125080271
"1.10.2.1483B",1,10,"2","1483B",-16.4014259063104,-71.5067125080271
"1.10.2.149B",1,10,"2","149B",-16.4051314562013,-71.5146223013456
"1.10.2.149A",1,10,"2","149A",-16.4051314562013,-71.5146223013456
"1.10.2.1492A",1,10,"2","1492A",-16.4008816631944,-71.5070597193109
"1.10.2.1508B",1,10,"2","1508B",-16.4023096273762,-71.5056322576611
"1.10.2.1508A",1,10,"2","1508A",-16.4023096273762,-71.5056322576611
"1.10.2.1516C",1,10,"2","1516C",-16.4023966847934,-71.5060650438513
"1.10.2.1516B",1,10,"2","1516B",-16.4023966847934,-71.5060650438513
"1.10.2.1516A",1,10,"2","1516A",-16.4023966847934,-71.5060650438513
"1.10.2.1519A",1,10,"2","1519A",-16.4021804324637,-71.5062093591413
"1.10.2.1520A",1,10,"2","1520A",-16.4021069009194,-71.506252580266
"1.10.2.1528A",1,10,"2","1528A",-16.4027023085913,-71.5056596437552
"1.10.2.153A",1,10,"2","153A",-16.4050138303484,-71.514179599128
"1.10.2.1530A",1,10,"2","1530A",-16.4026291080587,-71.5055454709552
"1.10.2.1535A",1,10,"2","1535A",-16.4029089295983,-71.5052239121774
"1.10.2.1537A",1,10,"2","1537A",-16.4031240534196,-71.5050756265211
"1.10.2.1538A",1,10,"2","1538A",-16.4032203352943,-71.5049962116682
"1.10.2.1541A",1,10,"2","1541A",-16.4034195925425,-71.5050170630173
"1.10.2.1543A",1,10,"2","1543A",-16.4035285131796,-71.5051369676128
"1.10.2.1545A",1,10,"2","1545A",-16.4036317953021,-71.5053095054879
"1.10.2.1549A",1,10,"2","1549A",-16.4033150096059,-71.5054701811092
"1.10.2.155A",1,10,"2","155A",-16.4052147739279,-71.5140685165391
"1.10.2.1550A",1,10,"2","1550A",-16.4032481384266,-71.5055187108888
"1.10.2.1560A",1,10,"2","1560A",-16.4040772901216,-71.504464658858
"1.10.2.1562B",1,10,"2","1562B",-16.4042400045164,-71.5043953558697
"1.10.2.1562A",1,10,"2","1562A",-16.4042400045164,-71.5043953558697
"1.10.2.1566A",1,10,"2","1566A",-16.4046032005471,-71.5041507067827
"1.10.2.1566B",1,10,"2","1566B",-16.4046032005471,-71.5041507067827
"1.10.2.1567A",1,10,"2","1567A",-16.4047027770312,-71.5041018283013
"1.10.2.1570A",1,10,"2","1570A",-16.4049574583413,-71.5039195832808
"1.10.2.1578A",1,10,"2","1578A",-16.4051330332312,-71.5043262235042
"1.10.2.1579A",1,10,"2","1579A",-16.405035354554,-71.5043327145136
"1.10.2.1587A",1,10,"2","1587A",-16.4045595110642,-71.5046708614547
"1.10.2.1591A",1,10,"2","1591A",-16.4043355180832,-71.5048162655743
"1.10.2.1601A",1,10,"2","1601A",-16.4043271700535,-71.5035167900414
"1.10.2.1603A",1,10,"2","1603A",-16.4045452964762,-71.5033722387348
"1.10.2.1605A",1,10,"2","1605A",-16.4046940567189,-71.5032836955931
"1.10.2.1618A",1,10,"2","1618A",-16.4047332896762,-71.5037152162904
"1.10.2.1618B",1,10,"2","1618B",-16.4047332896762,-71.5037152162904
"1.10.2.1625A",1,10,"2","1625A",-16.403808684015,-71.5042965366839
"1.10.2.1637A",1,10,"2","1637A",-16.4037190117527,-71.5038664422917
"1.10.2.1644A",1,10,"2","1644A",-16.4029818786258,-71.5047978649585
"1.10.2.1656A",1,10,"2","1656A",-16.4021884059421,-71.5048472400824
"1.10.2.1656B",1,10,"2","1656B",-16.4021884059421,-71.5048472400824
"1.10.2.1657A",1,10,"2","1657A",-16.4022713024243,-71.5047863122227
"1.10.2.1662A",1,10,"2","1662A",-16.4026905172309,-71.504516622748
"1.10.2.1663A",1,10,"2","1663A",-16.402789690801,-71.5044439267079
"1.10.2.1669A",1,10,"2","1669A",-16.4019339963766,-71.5055005078298
"1.10.2.167A",1,10,"2","167A",-16.4053563515905,-71.5135993224385
"1.10.2.1683A",1,10,"2","1683A",-16.4013569939038,-71.50541458624
"1.10.2.1689A",1,10,"2","1689A",-16.4018238273392,-71.5050615603996
"1.10.2.169A",1,10,"2","169A",-16.4051990135575,-71.513710854005
"1.10.2.1692A",1,10,"2","1692A",-16.4020370922149,-71.5051203636274
"1.10.2.1701A",1,10,"2","1701A",-16.4007344100452,-71.5062509902162
"1.10.2.1703A",1,10,"2","1703A",-16.4006659903049,-71.5061196710964
"1.10.2.1738A",1,10,"2","1738A",-16.3982512711326,-71.5076636199411
"1.10.2.1758A",1,10,"2","1758A",-16.3980430702481,-71.5080006468874
"1.10.2.1760A",1,10,"2","1760A",-16.3978766853296,-71.5081349162308
"1.10.2.1766A",1,10,"2","1766A",-16.3973223851691,-71.5084791467951
"1.10.2.1779A",1,10,"2","1779A",-16.3971658357337,-71.508019233834
"1.10.2.1781A",1,10,"2","1781A",-16.3973290391356,-71.5079046877228
"1.10.2.1799A",1,10,"2","1799A",-16.3968862272779,-71.5078963135401
"1.10.2.1810B",1,10,"2","1810B",-16.3970878404383,-71.5072713317311
"1.10.2.1810C",1,10,"2","1810C",-16.3970878404383,-71.5072713317311
"1.10.2.1810A",1,10,"2","1810A",-16.3970878404383,-71.5072713317311
"1.10.2.1815A",1,10,"2","1815A",-16.397470427274,-71.5070425759749
"1.10.2.1820A",1,10,"2","1820A",-16.3977183050305,-71.5071892176885
"1.10.2.1821A",1,10,"2","1821A",-16.3977393705464,-71.507230126239
"1.10.2.1824A",1,10,"2","1824A",-16.3979266320562,-71.5069705880147
"1.10.2.1824B",1,10,"2","1824B",-16.3979266320562,-71.5069705880147
"1.10.2.1835A",1,10,"2","1835A",-16.3987829612045,-71.5061906117917
"1.10.2.1835B",1,10,"2","1835B",-16.3987829612045,-71.5061906117917
"1.10.2.1836A",1,10,"2","1836A",-16.3989067094318,-71.5061015073084
"1.10.2.1836B",1,10,"2","1836B",-16.3989067094318,-71.5061015073084
"1.10.2.1852A",1,10,"2","1852A",-16.3988040652326,-71.5066860040111
"1.10.2.1855A",1,10,"2","1855A",-16.3986109249756,-71.5067942226282
"1.10.2.1862A",1,10,"2","1862A",-16.3981937210601,-71.5070809998548
"1.10.2.1862B",1,10,"2","1862B",-16.3981937210601,-71.5070809998548
"1.10.2.1866A",1,10,"2","1866A",-16.3995624515998,-71.5061740676095
"1.10.2.1886A",1,10,"2","1886A",-16.4006772788417,-71.5052626558738
"1.10.2.1895A",1,10,"2","1895A",-16.400933478191,-71.5051712642979
"1.10.2.190C",1,10,"2","190C",-16.40566972453,-71.5130322813568
"1.10.2.190B",1,10,"2","190B",-16.40566972453,-71.5130322813568
"1.10.2.191A",1,10,"2","191A",-16.4055934929517,-71.5129223190382
"1.10.2.1926A",1,10,"2","1926A",-16.4020478215857,-71.5045702915261
"1.10.2.1927A",1,10,"2","1927A",-16.4019720791392,-71.5044959843283
"1.10.2.1932A",1,10,"2","1932A",-16.4019343820674,-71.504149893051
"1.10.2.1933A",1,10,"2","1933A",-16.4020241902102,-71.5040967445579
"1.10.2.1934A",1,10,"2","1934A",-16.4021120198796,-71.5040351614163
"1.10.2.1944A",1,10,"2","1944A",-16.4026183134509,-71.5041996145751
"1.10.2.1947A",1,10,"2","1947A",-16.4023682844232,-71.5043821411098
"1.10.2.1948A",1,10,"2","1948A",-16.4022739704703,-71.5044227445553
"1.10.2.1948B",1,10,"2","1948B",-16.4022739704703,-71.5044227445553
"1.10.2.199A",1,10,"2","199A",-16.4063557630016,-71.5124775117201
"1.10.2.2022A",1,10,"2","2022A",-16.4045950267561,-71.5020475767861
"1.10.2.2037A",1,10,"2","2037A",-16.403648223378,-71.5021867305057
"1.10.2.2040A",1,10,"2","2040A",-16.4038327258089,-71.5020604258334
"1.10.2.2043A",1,10,"2","2043A",-16.4040462955213,-71.5019098734104
"1.10.2.2055A",1,10,"2","2055A",-16.4031492124569,-71.5029785505
"1.10.2.2055B",1,10,"2","2055B",-16.4031492124569,-71.5029785505
"1.10.2.2060A",1,10,"2","2060A",-16.4028872127482,-71.5031707708002
"1.10.2.2065B",1,10,"2","2065B",-16.4025965299191,-71.5029921289565
"1.10.2.2065A",1,10,"2","2065A",-16.4025965299191,-71.5029921289565
"1.10.2.2066A",1,10,"2","2066A",-16.4025341759836,-71.5029162321763
"1.10.2.2073A",1,10,"2","2073A",-16.403137966533,-71.502522210718
"1.10.2.2077A",1,10,"2","2077A",-16.4033580379403,-71.5023535227807
"1.10.2.2087A",1,10,"2","2087A",-16.4020715367676,-71.503737008848
"1.10.2.2088A",1,10,"2","2088A",-16.4020120799462,-71.5037806887858
"1.10.2.2089A",1,10,"2","2089A",-16.4019461003998,-71.5038133263854
"1.10.2.210A",1,10,"2","210A",-16.4060455624452,-71.5130582206819
"1.10.2.2118A",1,10,"2","2118A",-16.4010437373076,-71.5043883111753
"1.10.2.212A",1,10,"2","212A",-16.405559098078,-71.5125759558822
"1.10.2.2145A",1,10,"2","2145A",-16.4003501509737,-71.5047733155599
"1.10.2.2146A",1,10,"2","2146A",-16.4002260672294,-71.5048768583813
"1.10.2.2147A",1,10,"2","2147A",-16.4001499457868,-71.5049538722546
"1.10.2.215A",1,10,"2","215A",-16.4057650431749,-71.5122310805638
"1.10.2.2156A",1,10,"2","2156A",-16.3995573075856,-71.5053399594814
"1.10.2.218A",1,10,"2","218A",-16.4059907950089,-71.5118956934953
