"","x"
"839","1.10.14A.32A"
"840","1.10.14A.39A"
"841","1.10.15.113A"
"842","1.10.15.113A"
"843","1.10.15.130A"
"844","1.10.15.130A"
"845","1.10.15.15A"
"846","1.10.15.162A"
"847","1.10.15.162B"
"848","1.10.15.162B"
"849","1.10.15.163A"
"850","1.10.15.163B"
"851","1.10.15.163B"
"852","1.10.15.16A"
"853","1.10.15.16A"
"854","1.10.15.173A"
"855","1.10.15.174A"
"856","1.10.15.174A"
"857","1.10.15.174B"
"858","1.10.15.174B"
"859","1.10.15.178A"
"860","1.10.15.178A"
"861","1.10.15.184A"
"862","1.10.15.184A"
"863","1.10.15.194A"
"864","1.10.15.194A"
"865","1.10.15.194B"
"866","1.10.15.194B"
"867","1.10.15.197A"
"868","1.10.15.197A"
"869","1.10.15.19A"
"870","1.10.15.19A"
"871","1.10.15.20A"
"872","1.10.15.24A"
"873","1.10.15.24A"
"874","1.10.15.269A"
"875","1.10.15.269A"
"876","1.10.15.27A"
"877","1.10.15.27A"
"878","1.10.15.33A"
"879","1.10.15.33A"
"880","1.10.15.35A"
"881","1.10.15.35A"
"882","1.10.15.38A"
"883","1.10.15.38A"
"884","1.10.15.38B"
"885","1.10.15.38B"
"886","1.10.15.38C"
"887","1.10.15.94A"
"888","1.10.15.94A"
"889","1.10.16.102A"
"890","1.10.16.117A"
"891","1.10.16.120A"
"892","1.10.16.120B"
"893","1.10.16.120C"
"894","1.10.16.120D"
"895","1.10.16.120E"
"896","1.10.16.120F"
"897","1.10.16.120G"
"898","1.10.16.120I"
"899","1.10.16.120J"
"900","1.10.16.126A"
"901","1.10.16.128A"
"902","1.10.16.128A"
"903","1.10.16.132A"
"904","1.10.16.45A"
"905","1.10.16.57A"
"906","1.10.16.69A"
"907","1.10.2.1015A"
"908","1.10.2.1054A"
"909","1.10.2.1054A"
"910","1.10.2.1065A"
"911","1.10.2.1065A"
"912","1.10.2.1065B"
"913","1.10.2.1065B"
"914","1.10.2.1067A"
"915","1.10.2.1076A"
"916","1.10.2.1076A"
"917","1.10.2.1080A"
"918","1.10.2.1080A"
"919","1.10.2.1083A"
"920","1.10.2.1083A"
"921","1.10.2.1086A"
"922","1.10.2.1086A"
"923","1.10.2.1088A"
"924","1.10.2.1095A"
"925","1.10.2.1095A"
"926","1.10.2.1095B"
"927","1.10.2.1095B"
"928","1.10.2.1117A"
"929","1.10.2.111A"
"930","1.10.2.111A"
"931","1.10.2.1121A"
"932","1.10.2.1121A"
"933","1.10.2.1131A"
"934","1.10.2.1131A"
"935","1.10.2.1133A"
"936","1.10.2.1133A"
"937","1.10.2.1133B"
"938","1.10.2.1135A"
"939","1.10.2.1135A"
"940","1.10.2.1136A"
"941","1.10.2.1151A"
"942","1.10.2.1154A"
"943","1.10.2.1156A"
"944","1.10.2.1156A"
"945","1.10.2.1165A"
"946","1.10.2.1165A"
"947","1.10.2.1168A"
"948","1.10.2.1168A"
"949","1.10.2.1168B"
"950","1.10.2.1168B"
"951","1.10.2.1170A"
"952","1.10.2.1174A"
"953","1.10.2.1174A"
"954","1.10.2.117D"
"955","1.10.2.117G"
"956","1.10.2.1187A"
"957","1.10.2.1188A"
"958","1.10.2.1188A"
"959","1.10.2.1209A"
"960","1.10.2.1209A"
"961","1.10.2.1225A"
"962","1.10.2.1225A"
"963","1.10.2.1240A"
"964","1.10.2.1249A"
"965","1.10.2.1249A"
"966","1.10.2.1262A"
"967","1.10.2.1262A"
"968","1.10.2.1273A"
"969","1.10.2.1273B"
"970","1.10.2.1273B"
"971","1.10.2.1282A"
"972","1.10.2.1282A"
"973","1.10.2.1282B"
"974","1.10.2.1282B"
"975","1.10.2.1291A"
"976","1.10.2.1291A"
"977","1.10.2.1291B"
"978","1.10.2.1291B"
"979","1.10.2.1295A"
"980","1.10.2.1297A"
"981","1.10.2.1301A"
"982","1.10.2.1302C"
"983","1.10.2.1302D"
"984","1.10.2.1302E"
"985","1.10.2.1303A"
"986","1.10.2.1303A"
"987","1.10.2.1307A"
"988","1.10.2.1311A"
"989","1.10.2.1322A"
"990","1.10.2.1322A"
"991","1.10.2.1324A"
"992","1.10.2.1324A"
"993","1.10.2.1325A"
"994","1.10.2.1325A"
"995","1.10.2.1326A"
"996","1.10.2.1326A"
"997","1.10.2.133A"
"998","1.10.2.1340A"
"999","1.10.2.1340A"
"1000","1.10.2.1346A"
"1001","1.10.2.1346A"
"1002","1.10.2.1362A"
"1003","1.10.2.1368A"
"1004","1.10.2.1370A"
"1005","1.10.2.1370A"
"1006","1.10.2.1378A"
"1007","1.10.2.1379A"
"1008","1.10.2.1379A"
"1009","1.10.2.1390A"
"1010","1.10.2.1390A"
