"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.7.10.11",1,7,"10","11",-16.4385758618986,-71.5617806491849,"1",NA,NA,"01/07/2004","2"
"1.7.10.110",1,7,"10","110",-16.4393850617247,-71.5609748911107,"9",NA,NA,"24/06/2004","2"
"1.7.10.110",1,7,"10","110",-16.4393850617247,-71.5609748911107,"9",NA,NA,"08/10/2003","1"
"1.7.10.111",1,7,"10","111",-16.4393119328963,-71.5609315511553,"9",NA,NA,"08/10/2003","1"
"1.7.10.111",1,7,"10","111",-16.4393119328963,-71.5609315511553,"9",NA,NA,"05/12/2004","2"
"1.7.10.112",1,7,"10","112",-16.4392653016992,-71.5608488803035,"9",NA,NA,"24/06/2004","2"
"1.7.10.112",1,7,"10","112",-16.4392653016992,-71.5608488803035,"9",NA,NA,"08/10/2003","1"
"1.7.10.113",1,7,"10","113",-16.4393143127321,-71.5607724261048,"9",NA,NA,"24/06/2004","2"
"1.7.10.113",1,7,"10","113",-16.4393143127321,-71.5607724261048,"9",NA,NA,"08/10/2003","1"
"1.7.10.114",1,7,"10","114",-16.4393746953679,-71.560719115055,"9",NA,NA,"08/10/2003","1"
"1.7.10.114",1,7,"10","114",-16.4393746953679,-71.560719115055,"9",NA,NA,"24/06/2004","2"
"1.7.10.115",1,7,"10","115",-16.4394504475841,-71.5606590623309,"9",NA,NA,"28/06/2004","2"
"1.7.10.115",1,7,"10","115",-16.4394504475841,-71.5606590623309,"9",NA,NA,"08/10/2003","1"
"1.7.10.116",1,7,"10","116",-16.4394719607916,-71.56074552064,"9",NA,NA,"25/06/2004","2"
"1.7.10.116",1,7,"10","116",-16.4394719607916,-71.56074552064,"9",NA,NA,"08/10/2003","1"
"1.7.10.117",1,7,"10","117",-16.439515992818,-71.560831901644,"9",NA,NA,"25/06/2004","2"
"1.7.10.117",1,7,"10","117",-16.439515992818,-71.560831901644,"9",NA,NA,"08/10/2003","1"
"1.7.10.118",1,7,"10","118",-16.4395742381992,-71.5609171004404,"9",NA,NA,"28/06/2004","2"
"1.7.10.118",1,7,"10","118",-16.4395742381992,-71.5609171004404,"9",NA,NA,"08/10/2003","1"
"1.7.10.119",1,7,"10","119",-16.4396587597549,-71.560952663493,"9",NA,NA,"25/06/2004","2"
"1.7.10.119",1,7,"10","119",-16.4396587597549,-71.560952663493,"9",NA,NA,"08/10/2003","1"
"1.7.10.12",1,7,"10","12",-16.4386530105788,-71.5618484394097,"1",NA,"1","01/10/2003","1"
"1.7.10.12",1,7,"10","12",-16.4386530105788,-71.5618484394097,"1",NA,NA,"23/06/2004","2"
"1.7.10.120",1,7,"10","120",-16.4397227133036,-71.5610209850663,"9",NA,NA,"25/06/2004","2"
"1.7.10.120",1,7,"10","120",-16.4397227133036,-71.5610209850663,"9",NA,NA,"08/10/2003","1"
"1.7.10.121",1,7,"10","121",-16.4397757345164,-71.5610896637741,"9",NA,NA,"08/10/2003","1"
"1.7.10.121",1,7,"10","121",-16.4397757345164,-71.5610896637741,"9",NA,NA,"01/07/2004","2"
"1.7.10.122",1,7,"10","122",-16.4398424737985,-71.5611618618347,"9",NA,NA,"14/10/2003","1"
"1.7.10.122",1,7,"10","122",-16.4398424737985,-71.5611618618347,"9",NA,NA,"28/06/2004","2"
"1.7.10.123",1,7,"10","123",-16.4399113787716,-71.5612225135098,"9",NA,NA,"05/12/2004","2"
"1.7.10.123",1,7,"10","123",-16.4399113787716,-71.5612225135098,"9",NA,NA,"09/10/2003","1"
"1.7.10.124",1,7,"10","124",-16.4406628521856,-71.5616362105726,"10",NA,NA,"28/06/2004","2"
"1.7.10.124",1,7,"10","124",-16.4406628521856,-71.5616362105726,"10",NA,NA,"09/10/2003","1"
"1.7.10.125",1,7,"10","125",-16.4405956250551,-71.5615773436048,"10",NA,NA,"25/06/2004","2"
"1.7.10.125",1,7,"10","125",-16.4405956250551,-71.5615773436048,"10",NA,NA,"09/10/2003","1"
"1.7.10.126",1,7,"10","126",-16.4405267012104,-71.5615028853742,"10",NA,NA,"09/10/2003","1"
"1.7.10.126",1,7,"10","126",-16.4405267012104,-71.5615028853742,"10",NA,NA,"25/06/2004","2"
"1.7.10.127",1,7,"10","127",-16.440457825364,-71.5614434456953,"10",NA,NA,"28/06/2004","2"
"1.7.10.127",1,7,"10","127",-16.440457825364,-71.5614434456953,"10",NA,NA,"09/10/2003","1"
"1.7.10.128",1,7,"10","128",-16.4403947863082,-71.5613648651438,"10",NA,NA,"25/06/2004","2"
"1.7.10.128",1,7,"10","128",-16.4403947863082,-71.5613648651438,"10",NA,NA,"09/10/2003","1"
"1.7.10.129",1,7,"10","129",-16.4403383841,-71.5613013787431,"10",NA,NA,"25/06/2004","2"
"1.7.10.129",1,7,"10","129",-16.4403383841,-71.5613013787431,"10",NA,NA,"09/10/2003","1"
"1.7.10.13",1,7,"10","13",-16.4385747163345,-71.5619339629691,"1",NA,NA,"21/06/2004","2"
"1.7.10.13",1,7,"10","13",-16.4385747163345,-71.5619339629691,"1","1","5","01/10/2003","1"
"1.7.10.130",1,7,"10","130",-16.4402771688133,-71.5612313309804,"10",NA,NA,"28/06/2004","2"
"1.7.10.130",1,7,"10","130",-16.4402771688133,-71.5612313309804,"10","1",NA,"13/10/2003","1"
"1.7.10.131",1,7,"10","131",-16.4403428790221,-71.5611731698198,"10",NA,NA,"28/06/2004","2"
"1.7.10.131",1,7,"10","131",-16.4403428790221,-71.5611731698198,"10",NA,NA,"13/10/2003","1"
"1.7.10.132",1,7,"10","132",-16.4404426153635,-71.5610645876953,"10",NA,NA,"09/10/2003","1"
"1.7.10.132",1,7,"10","132",-16.4404426153635,-71.5610645876953,"10",NA,NA,"25/06/2004","2"
"1.7.10.133",1,7,"10","133",-16.440510140762,-71.5611337957007,"10",NA,"112","09/10/2003","1"
"1.7.10.133",1,7,"10","133",-16.440510140762,-71.5611337957007,"10",NA,NA,"25/06/2004","2"
"1.7.10.134",1,7,"10","134",-16.4405786454355,-71.5611936164345,"10",NA,NA,"25/06/2004","2"
"1.7.10.134",1,7,"10","134",-16.4405786454355,-71.5611936164345,"10","1",NA,"09/10/2003","1"
"1.7.10.135",1,7,"10","135",-16.4406482332904,-71.5612664529231,"10",NA,NA,"09/10/2003","1"
"1.7.10.135",1,7,"10","135",-16.4406482332904,-71.5612664529231,"10",NA,NA,"25/06/2004","2"
"1.7.10.136",1,7,"10","136",-16.4407254058556,-71.5613602130852,"10",NA,NA,"25/06/2004","2"
"1.7.10.136",1,7,"10","136",-16.4407254058556,-71.5613602130852,"10",NA,NA,"13/10/2003","1"
"1.7.10.137",1,7,"10","137",-16.4407605713817,-71.5614115400622,"10",NA,NA,"13/10/2003","1"
"1.7.10.137",1,7,"10","137",-16.4407605713817,-71.5614115400622,"10",NA,NA,"25/06/2004","2"
"1.7.10.138",1,7,"10","138",-16.4408173188618,-71.5614773381804,"10",NA,NA,"09/10/2003","1"
"1.7.10.138",1,7,"10","138",-16.4408173188618,-71.5614773381804,"10",NA,NA,"25/06/2004","2"
"1.7.10.139",1,7,"10","139",-16.4408794539581,-71.5615555523696,"10",NA,NA,"28/06/2004","2"
"1.7.10.139",1,7,"10","139",-16.4408794539581,-71.5615555523696,"10",NA,NA,"09/10/2003","1"
"1.7.10.14",1,7,"10","14",-16.4385034575327,-71.5620009907117,"1",NA,NA,"21/06/2004","2"
"1.7.10.14",1,7,"10","14",-16.4385034575327,-71.5620009907117,"1",NA,"2","01/10/2003","1"
"1.7.10.140",1,7,"10","140",-16.4403043332751,-71.5609499591443,"11",NA,NA,"09/10/2003","1"
"1.7.10.140",1,7,"10","140",-16.4403043332751,-71.5609499591443,"11",NA,NA,"28/06/2004","2"
"1.7.10.141",1,7,"10","141",-16.4401501631208,-71.5611087284977,"11",NA,NA,"28/06/2004","2"
"1.7.10.141",1,7,"10","141",-16.4401501631208,-71.5611087284977,"11",NA,NA,"09/10/2003","1"
"1.7.10.142",1,7,"10","142",-16.4400780583613,-71.5610376855602,"11",NA,NA,"09/10/2003","1"
"1.7.10.142",1,7,"10","142",-16.4400780583613,-71.5610376855602,"11",NA,NA,"25/06/2004","2"
