"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.28.3.156",1,28,"3","156",-16.5720437012102,-71.4511218033466,"23","",0,"05/18/09",1
"1.28.3.157",1,28,"3","157",-16.5720411762808,-71.4512019503489,"23","",0,"10/13/09",2
"1.28.3.157",1,28,"3","157",-16.5720411762808,-71.4512019503489,"23","",0,"05/25/09",1
"1.28.3.158",1,28,"3","158",-16.5720905745613,-71.4513861790841,"23",NA,NA,NA,NA
"1.28.3.159",1,28,"3","159",-16.5721588303393,-71.4515776496398,"23",NA,NA,NA,NA
"1.28.3.16",1,28,"3","16",-16.5717803029464,-71.4485809587804,"5",NA,NA,NA,NA
"1.28.3.160",1,28,"3","160",-16.5721354032856,-71.4517930249524,"23",NA,NA,NA,NA
"1.28.3.161",1,28,"3","161",-16.5721444444444,-71.4519954315046,"23",NA,NA,NA,NA
"1.28.3.162",1,28,"3","162",-16.5720928248145,-71.4521454385872,"23","",0,"05/19/09",1
"1.28.3.163",1,28,"3","163",-16.5720469887248,-71.4522894284759,"23",NA,NA,NA,NA
"1.28.3.164",1,28,"3","164",-16.5718944444444,-71.4525219663321,"24","",0,"05/18/09",1
"1.28.3.164",1,28,"3","164",-16.5718944444444,-71.4525219663321,"24","",0,"10/12/2009",2
"1.28.3.165",1,28,"3","165",-16.5717603957264,-71.4528402640121,"24","",0,"05/21/09",1
"1.28.3.166",1,28,"3","166",-16.5715873990858,-71.4531471976814,"24","",0,"10/13/09",2
"1.28.3.167",1,28,"3","167",-16.5713472222222,-71.4527552379524,"24","",0,"10/13/09",2
"1.28.3.168",1,28,"3","168",-16.5712419676839,-71.4525277777777,"24","",0,"10/12/2009",2
"1.28.3.168",1,28,"3","168",-16.5712419676839,-71.4525277777777,"24","",0,"05/22/09",1
"1.28.3.169",1,28,"3","169",-16.5718222222222,-71.4522485819208,"24",NA,NA,NA,NA
"1.28.3.17",1,28,"3","17",-16.5715766560762,-71.4484136014253,"5",NA,NA,NA,NA
"1.28.3.170",1,28,"3","170",-16.5710134228217,-71.4526056045447,"25",NA,NA,NA,NA
"1.28.3.171",1,28,"3","171",-16.5711722222222,-71.4529203476029,"25",NA,NA,NA,NA
"1.28.3.172",1,28,"3","172",-16.5714805555555,-71.453548711964,"25",NA,NA,NA,NA
"1.28.3.173",1,28,"3","173",-16.5713677314556,-71.4538005375475,"25","",0,"05/25/09",1
"1.28.3.174",1,28,"3","174",-16.5713174877494,-71.4539638888888,"25",NA,NA,NA,NA
"1.28.3.175",1,28,"3","175",-16.5707502818809,-71.4540945206882,"25",NA,NA,NA,NA
"1.28.3.176",1,28,"3","176",-16.5704888888888,-71.4539445825243,"25",NA,NA,NA,NA
"1.28.3.177",1,28,"3","177",-16.5705899158507,-71.4537666666666,"25","",0,"10/13/09",2
"1.28.3.178",1,28,"3","178",-16.5706009739198,-71.4535344326053,"25",NA,NA,NA,NA
"1.28.3.179",1,28,"3","179",-16.5706432802574,-71.4534233890773,"25","",0,"05/19/09",1
"1.28.3.18",1,28,"3","18",-16.5714725862997,-71.4482932139696,"5","",0,"05/25/09",1
"1.28.3.180",1,28,"3","180",-16.5707012184087,-71.4532900286939,"25","",0,"05/21/09",1
"1.28.3.180",1,28,"3","180",-16.5707012184087,-71.4532900286939,"25","",0,"10/06/2009",2
"1.28.3.181",1,28,"3","181",-16.5703583333333,-71.4540986317956,"26","",0,"05/21/09",1
"1.28.3.181",1,28,"3","181",-16.5703583333333,-71.4540986317956,"26","",0,"10/06/2009",2
"1.28.3.182",1,28,"3","182",-16.5706872713379,-71.4542488658772,"26",NA,NA,NA,NA
"1.28.3.183",1,28,"3","183",-16.5711017713823,-71.4544438783474,"26",NA,NA,NA,NA
"1.28.3.184",1,28,"3","184",-16.5710534317529,-71.4544933508553,"26",NA,NA,NA,NA
"1.28.3.185",1,28,"3","185",-16.570999580223,-71.4546194444444,"26",NA,NA,NA,NA
