"","UNICODE","ESTA_CUANTIS","ESTA_SENSIS","ESTA_ESTRATEGIAS","T_Cuantis","C_Cuantis","R_Cuantis","DES_Cuantis","LV_Cuantis","LP_Cuantis","P_Sensis","RP_Sensis","C_Sensis","R_Sensis","DES_Sensis","LV_Sensis","LP_Sensis","V_Sensis","LATITUD","LONGITUD","LOCALIDAD","MZ","ESTRATEGIA","CLUSTER","CUADRUPLET","STATUS_C1_MINSA","in_tri_C1","pe_tri_C1","pos_C1","STATUS_C2_MINSA","in_tri_C2","pe_tri_C2","pos_C2","T","R","C","DES","LP","LV","P","V","STATUS","BD_MINSA","PROG_OLVIDO","FECHA_CUANTI","APERTURADA_DIA","DIAS_PRI_VISITA_TRAT","DIAS_PRI_PROG_TRAT","VIV_PROG_NUNCA_TRAT","MINUTOS_ROCIADO","ETAPA_ROCIADO","sampleA","sampleB","sampleC","sampleD","sampleE","sampleF","NUMRES","IN_AMB","ESTRATEGIA2"
"774","1.1.23.36",1,1,1,1,1,0,0,0,0,1,0,9,1,0,0,0,1,-16.3787142431416,-71.5305264746108,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-08-02",1,61,61,NA,44,"domingos",1,1,1,1,1,1,3,9,"Adv.Planning"
"775","1.1.23.37",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.3787261438439,-71.5306002986497,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-02",0,0,0,NA,17,"ataque",1,1,1,1,1,1,1,3,"Adv.Planning"
"776","1.1.23.38",0,1,1,NA,NA,NA,NA,NA,NA,0,0,3,0,1,0,0,0,-16.3787371308426,-71.5306648681688,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"DES",NA,NA,NA,0,0,1,1,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,4,13,"Adv.Planning"
"777","1.1.23.39",1,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,1,-16.3787512496811,-71.530737948671,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"R",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-10",1,2,0,NA,38,"ataque",1,1,1,1,1,0,NA,NA,"Adv.Planning"
"778","1.1.23.4",1,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,-16.3783219383272,-71.531480655948,"VILLA EL CONQUISTADOR II",1,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-07-31",1,58,NA,NA,27,"fuera de tiempo",1,1,1,1,1,1,3,4,"Adv.Planning"
"779","1.1.23.40",1,1,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,-16.378761594259,-71.5308218967781,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"R",NA,NA,0,"C",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,NA,NA,"Adv.Planning"
"780","1.1.23.41",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.378769125904,-71.530893863187,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-02",0,0,0,NA,46,"ataque",1,1,1,1,1,1,10,11,"Adv.Planning"
"781","1.1.23.42",1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,-16.3787746323274,-71.5309725672064,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-11",1,9,9,NA,27,"ataque",1,1,1,1,1,1,2,4,"Adv.Planning"
"782","1.1.23.43",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.3787402150359,-71.531083414442,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-02",0,0,0,NA,40,"ataque",1,1,1,1,1,1,4,7,"Adv.Planning"
"783","1.1.23.44",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.3786372198141,-71.5310800561336,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-02",0,0,0,NA,36,"ataque",1,1,1,1,1,1,1,1,"Adv.Planning"
