"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"4662","1.1.34.637","1","1","34","637","2","T",NA,NA
"4663","1.1.34.638","1","1","34","638","1","C",NA,NA
"4664","1.1.34.638","1","1","34","638","2","T",NA,NA
"4665","1.1.34.639","1","1","34","639","1","T",NA,NA
"4666","1.1.34.639","1","1","34","639","2","T",NA,NA
"4667","1.1.34.64","1","1","34","64","1","T",NA,NA
"4668","1.1.34.64","1","1","34","64","2","T",NA,NA
"4669","1.1.34.640","1","1","34","640","1","T",NA,NA
"4670","1.1.34.640","1","1","34","640","2","T",NA,NA
"4671","1.1.34.641","1","1","34","641","1","T",NA,NA
"4672","1.1.34.641","1","1","34","641","2","T",NA,NA
"4673","1.1.34.642","1","1","34","642","1","T",NA,NA
"4674","1.1.34.642","1","1","34","642","2","T",NA,NA
"4675","1.1.34.643","1","1","34","643","1","T",NA,NA
"4676","1.1.34.643","1","1","34","643","2","T",NA,NA
"4677","1.1.34.644","1","1","34","644","1","T",NA,NA
"4678","1.1.34.644","1","1","34","644","2","T",NA,NA
"4679","1.1.34.645","1","1","34","645","1","T",NA,NA
"4680","1.1.34.645","1","1","34","645","2","T",NA,NA
"4681","1.1.34.645A","1","1","34","645A","1","T",NA,NA
"4682","1.1.34.645A","1","1","34","645A","2","T",NA,NA
"4683","1.1.34.646","1","1","34","646","1","R",NA,NA
"4684","1.1.34.646","1","1","34","646","2","T",NA,NA
"4685","1.1.34.647","1","1","34","647","1","T",NA,NA
"4686","1.1.34.647","1","1","34","647","2","T",NA,NA
"4687","1.1.34.647A","1","1","34","647A","2","T",NA,NA
"4688","1.1.34.648","1","1","34","648","1","T",NA,NA
"4689","1.1.34.648","1","1","34","648","2","T",NA,NA
"4690","1.1.34.649","1","1","34","649","1","T",NA,NA
"4691","1.1.34.649","1","1","34","649","2","T",NA,NA
"4692","1.1.34.64A","1","1","34","64A","2","T",NA,NA
"4693","1.1.34.65","1","1","34","65","1","T",NA,NA
"4694","1.1.34.65","1","1","34","65","2","T",NA,NA
"4695","1.1.34.650","1","1","34","650","1","T",NA,NA
"4696","1.1.34.650","1","1","34","650","2","T",NA,NA
"4697","1.1.34.650A","1","1","34","650A","1","T",NA,NA
"4698","1.1.34.650A","1","1","34","650A","2","C",NA,NA
"4699","1.1.34.651","1","1","34","651","1","T",NA,NA
"4700","1.1.34.651","1","1","34","651","2","T",NA,NA
"4701","1.1.34.652","1","1","34","652","1","T",NA,NA
"4702","1.1.34.652","1","1","34","652","2","T",NA,NA
"4703","1.1.34.653","1","1","34","653","1","T",NA,NA
"4704","1.1.34.653","1","1","34","653","2","T",NA,NA
"4705","1.1.34.654","1","1","34","654","1","T",NA,NA
"4706","1.1.34.654","1","1","34","654","2","R",NA,NA
"4707","1.1.34.655","1","1","34","655","1","T",NA,NA
"4708","1.1.34.655","1","1","34","655","2","T",NA,NA
"4709","1.1.34.655A","1","1","34","655A","1","T",NA,NA
"4710","1.1.34.655A","1","1","34","655A","2","T",NA,NA
"4711","1.1.34.656","1","1","34","656","1","C",NA,NA
"4712","1.1.34.656","1","1","34","656","2","C",NA,NA
"4713","1.1.34.656A","1","1","34","656A","1","T",NA,NA
"4714","1.1.34.656A","1","1","34","656A","2","R",NA,NA
"4715","1.1.34.657","1","1","34","657","1","T",NA,NA
"4716","1.1.34.657","1","1","34","657","2","T",NA,NA
"4717","1.1.34.658","1","1","34","658","1","T",NA,NA
"4718","1.1.34.658","1","1","34","658","2","T",NA,NA
"4719","1.1.34.659","1","1","34","659","1","T",NA,NA
"4720","1.1.34.659","1","1","34","659","2","T",NA,NA
"4721","1.1.34.66","1","1","34","66","1","T",NA,NA
"4722","1.1.34.66","1","1","34","66","2","T",NA,NA
"4723","1.1.34.660","1","1","34","660","1","T",NA,NA
"4724","1.1.34.660","1","1","34","660","2","T",NA,NA
"4725","1.1.34.661","1","1","34","661","1","T",NA,NA
"4726","1.1.34.661","1","1","34","661","2","T",NA,NA
"4727","1.1.34.662","1","1","34","662","1","T",NA,NA
"4728","1.1.34.662","1","1","34","662","2","T",NA,NA
"4729","1.1.34.663","1","1","34","663","1","T",NA,NA
"4730","1.1.34.663","1","1","34","663","2","T",NA,NA
"4731","1.1.34.664","1","1","34","664","1","T",NA,NA
"4732","1.1.34.664","1","1","34","664","2","T",NA,NA
"4733","1.1.34.665","1","1","34","665","1","T",NA,NA
"4734","1.1.34.665","1","1","34","665","2","T",NA,NA
"4735","1.1.34.666","1","1","34","666","1","R",NA,NA
"4736","1.1.34.666","1","1","34","666","2","T",NA,NA
"4737","1.1.34.667","1","1","34","667","1","T",NA,NA
"4738","1.1.34.667","1","1","34","667","2","T",NA,NA
"4739","1.1.34.668","1","1","34","668","1","T",NA,NA
"4740","1.1.34.668","1","1","34","668","2","T",NA,NA
"4741","1.1.34.668A","1","1","34","668A","1","T",NA,NA
"4742","1.1.34.668A","1","1","34","668A","2","T",NA,NA
"4743","1.1.34.669","1","1","34","669","1","T",NA,NA
"4744","1.1.34.669","1","1","34","669","2","T",NA,NA
"4745","1.1.34.67","1","1","34","67","1","T","5",NA
