"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.18.17.23",1,"18","17","23",-16.41930165,-71.59249658,"3","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.23",1,"18","17","23",-16.41930165,-71.59249658,"3","0","0","06/01/2006",2,0,0,0,1,0,0
"1.18.17.24",1,"18","17","24",-16.4190651,-71.59214479,"4","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.24",1,"18","17","24",-16.4190651,-71.59214479,"4","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.25",1,"18","17","25",-16.4189403,-71.59210676,"4","0","0","31/05/2005",1,1,0,0,0,0,0
"1.18.17.25",1,"18","17","25",-16.4189403,-71.59210676,"4","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.26",1,"18","17","26",-16.41883074,-71.59207827,"4","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.26",1,"18","17","26",-16.41883074,-71.59207827,"4","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.27",1,"18","17","27",-16.41872921,-71.59208751,"4","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.27",1,"18","17","27",-16.41872921,-71.59208751,"4","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.28",1,"18","17","28",-16.41856823,-71.59205725,"4","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.28",1,"18","17","28",-16.41856823,-71.59205725,"4","13","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.29",1,"18","17","29",-16.41856036,-71.59218027,"4","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.29",1,"18","17","29",-16.41856036,-71.59218027,"4","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.3",1,"18","17","3",-16.41777351,-71.59339483,"2","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.3",1,"18","17","3",-16.41777351,-71.59339483,"2","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.30",1,"18","17","30",-16.41855784,-71.59226783,"4","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.30",1,"18","17","30",-16.41855784,-71.59226783,"4","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.31",1,"18","17","31",-16.41872693,-71.5922254,"4","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.31",1,"18","17","31",-16.41872693,-71.5922254,"4","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.32",1,"18","17","32",-16.4183831,-71.59229068,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.32",1,"18","17","32",-16.4183831,-71.59229068,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.33",1,"18","17","33",-16.41824316,-71.59232623,"6","0","0","30/05/2005",1,1,0,0,0,0,0
"1.18.17.33",1,"18","17","33",-16.41824316,-71.59232623,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.34",1,"18","17","34",-16.41813093,-71.59232617,"6","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.34",1,"18","17","34",-16.41813093,-71.59232617,"6","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.35",1,"18","17","35",-16.41804717,-71.59233714,"6","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.35",1,"18","17","35",-16.41804717,-71.59233714,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.36",1,"18","17","36",-16.41798319,-71.59238448,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.36",1,"18","17","36",-16.41798319,-71.59238448,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.37",1,"18","17","37",-16.41791366,-71.59243425,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.37",1,"18","17","37",-16.41791366,-71.59243425,"6","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.38",1,"18","17","38",-16.41785012,-71.59253673,"6","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.38",1,"18","17","38",-16.41785012,-71.59253673,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.39",1,"18","17","39",-16.41779889,-71.59261594,"6","0","0","06/01/2006",2,1,0,0,0,0,0
"1.18.17.39",1,"18","17","39",-16.41779889,-71.59261594,"6","0","0","31/05/2005",1,1,0,0,0,0,0
"1.18.17.4",1,"18","17","4",-16.41782165,-71.59331497,"2","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.4",1,"18","17","4",-16.41782165,-71.59331497,"2","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.40",1,"18","17","40",-16.41775143,-71.5927538,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.40",1,"18","17","40",-16.41775143,-71.5927538,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.41",1,"18","17","41",-16.41768241,-71.59271472,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.41",1,"18","17","41",-16.41768241,-71.59271472,"6","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.42",1,"18","17","42",-16.41755453,-71.59262079,"6","0","0","31/05/2005",1,0,0,1,0,0,0
"1.18.17.42",1,"18","17","42",-16.41755453,-71.59262079,"6","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.43",1,"18","17","43",-16.41760477,-71.59253974,"6","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.43",1,"18","17","43",-16.41760477,-71.59253974,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.44",1,"18","17","44",-16.41763533,-71.59243243,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.44",1,"18","17","44",-16.41763533,-71.59243243,"6","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.45",1,"18","17","45",-16.41765517,-71.592355,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.45",1,"18","17","45",-16.41765517,-71.592355,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.46",1,"18","17","46",-16.41771118,-71.59225962,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.46",1,"18","17","46",-16.41771118,-71.59225962,"6","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.47",1,"18","17","47",-16.41777601,-71.59217227,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.47",1,"18","17","47",-16.41777601,-71.59217227,"6","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.48",1,"18","17","48",-16.41786359,-71.59211471,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.48",1,"18","17","48",-16.41786359,-71.59211471,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.49",1,"18","17","49",-16.41796967,-71.59211108,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.49",1,"18","17","49",-16.41796967,-71.59211108,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.5",1,"18","17","5",-16.41787722,-71.59324471,"2","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.5",1,"18","17","5",-16.41787722,-71.59324471,"2","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.50",1,"18","17","50",-16.41808291,-71.59208231,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.50",1,"18","17","50",-16.41808291,-71.59208231,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.51",1,"18","17","51",-16.41819862,-71.59207654,"6","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.51",1,"18","17","51",-16.41819862,-71.59207654,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.52",1,"18","17","52",-16.41835455,-71.59200407,"6","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.52",1,"18","17","52",-16.41835455,-71.59200407,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.53",1,"18","17","53",-16.41834507,-71.59177485,"5","0","0","06/01/2006",2,0,0,0,1,0,0
"1.18.17.53",1,"18","17","53",-16.41834507,-71.59177485,"5","0","0","27/05/2005",1,1,0,0,0,0,0
