"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.23.14.94",1,"23","14","94",-16.45176953,-71.61449317,"7","0","2","21/07/2005",1,1,0,0,0,0,0
"1.23.14.95",1,"23","14","95",-16.45178745,-71.61440185,"7","0","0","17/02/2006",2,0,1,0,0,0,0
"1.23.14.95",1,"23","14","95",-16.45178745,-71.61440185,"7","0","0","02/08/2005",1,1,0,0,0,0,0
"1.23.14.96",1,"23","14","96",-16.45188995,-71.61441359,"7","0","0","17/02/2006",2,0,0,1,0,0,0
"1.23.14.96",1,"23","14","96",-16.45188995,-71.61441359,"7","0","0","05/08/2005",1,0,0,1,0,0,0
"1.23.14.97",1,"23","14","97",-16.45208859,-71.61443306,"7","0","0","09/02/2006",2,1,0,0,0,0,0
"1.23.14.97",1,"23","14","97",-16.45208859,-71.61443306,"7","0","0","20/07/2005",1,1,0,0,0,0,0
"1.23.14.98",1,"23","14","98",-16.45205968,-71.61452144,"7","0","0","05/08/2005",1,0,1,0,0,0,0
"1.23.14.98",1,"23","14","98",-16.45205968,-71.61452144,"7","0","0","17/02/2006",2,0,1,0,0,0,0
"1.23.14.99",1,"23","14","99",-16.4520483,-71.61462362,"7","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.14.99",1,"23","14","99",-16.4520483,-71.61462362,"7","9","0","19/07/2005",1,1,0,0,0,0,0
"1.23.15.1",1,"23","15","1",-16.45086531,-71.61996233,"1","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.1",1,"23","15","1",-16.45086531,-71.61996233,"1","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.10",1,"23","15","10",-16.45317709,-71.61849467,"1","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.10",1,"23","15","10",-16.45317709,-71.61849467,"1","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.100",1,"23","15","100",-16.45434575,-71.61714587,"11","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.100",1,"23","15","100",-16.45434575,-71.61714587,"11","0","0","10/08/2005",1,1,0,0,0,0,0
"1.23.15.101",1,"23","15","101",-16.45412378,-71.6172488,"11","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.15.101",1,"23","15","101",-16.45412378,-71.6172488,"11","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.102",1,"23","15","102",-16.4540386,-71.61716681,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.102",1,"23","15","102",-16.4540386,-71.61716681,"11","0","0","10/08/2005",1,1,0,0,0,0,0
