"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.28.1.8",1,"28","1","8",-16.56736324,-71.43832308,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.9",1,"28","1","9",-16.56803227,-71.43849363,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.1",1,"28","2","1",-16.56400604,-71.45999047,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.10",1,"28","2","10",-16.56402575,-71.45936389,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.11",1,"28","2","11",-16.56373225,-71.4589071,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.12",1,"28","2","12",-16.56371893,-71.45870733,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.13",1,"28","2","13",-16.56373611,-71.45857266,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.14",1,"28","2","14",-16.56370246,-71.45809212,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.15",1,"28","2","15",-16.56365194,-71.45780833,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.16",1,"28","2","16",-16.56369708,-71.45763777,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.17",1,"28","2","17",-16.56356691,-71.45732283,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.18",1,"28","2","18",-16.564375,-71.45555169,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.19",1,"28","2","19",-16.56403889,-71.45659627,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.2",1,"28","2","2",-16.56370801,-71.45960373,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.20",1,"28","2","20",-16.56378986,-71.45694778,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.21",1,"28","2","21",-16.56376667,-71.45703687,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.22",1,"28","2","22",-16.56376988,-71.45726467,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.23",1,"28","2","23",-16.56390425,-71.45755833,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.24",1,"28","2","24",-16.56400556,-71.45718528,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.25",1,"28","2","25",-16.56417874,-71.45729523,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.26",1,"28","2","26",-16.56413173,-71.45746389,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.27",1,"28","2","27",-16.5641,-71.45772093,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.28",1,"28","2","28",-16.56402222,-71.45799133,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.29",1,"28","2","29",-16.56393611,-71.45789956,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.3",1,"28","2","3",-16.5634346,-71.45883531,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.30",1,"28","2","30",-16.56554376,-71.45401028,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.4",1,"28","2","4",-16.56354771,-71.45864548,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.5",1,"28","2","5",-16.56341023,-71.45844722,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.6",1,"28","2","6",-16.56356083,-71.45830556,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.7",1,"28","2","7",-16.56395437,-71.45835055,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.8",1,"28","2","8",-16.56401986,-71.45872222,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.2.9",1,"28","2","9",-16.56419398,-71.45897778,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.3.1",1,"28","3","1",-16.5694851,-71.45000833,"1","0","0","0",2,0,0,0,1,0,0
"1.28.3.1",1,"28","3","1",-16.5694851,-71.45000833,"1","0","0","0",1,0,0,0,1,0,0
"1.28.3.10",1,"28","3","10",-16.57071579,-71.44751011,"3","0","0","0",2,0,0,0,1,0,0
"1.28.3.10",1,"28","3","10",-16.57071579,-71.44751011,"3","0","0","0",1,0,0,0,1,0,0
"1.28.3.100",1,"28","3","100",-16.56988144,-71.45791074,"13","0","0","0",2,0,0,0,1,0,0
"1.28.3.100",1,"28","3","100",-16.56988144,-71.45791074,"13","0","0","0",1,0,0,0,1,0,0
"1.28.3.101",1,"28","3","101",-16.56898889,-71.45993408,"14","0","0","0",1,0,0,0,1,0,0
"1.28.3.101",1,"28","3","101",-16.56898889,-71.45993408,"14","0","0","0",2,0,0,0,1,0,0
"1.28.3.102",1,"28","3","102",-16.56898369,-71.45938534,"15","0","0","0",2,0,0,0,1,0,0
"1.28.3.102",1,"28","3","102",-16.56898369,-71.45938534,"15","0","0","0",1,0,0,0,1,0,0
"1.28.3.103",1,"28","3","103",-16.56920833,-71.45898042,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.103",1,"28","3","103",-16.56920833,-71.45898042,"15","","0","05/18/09",2,1,0,0,0,0,0
